;year;avgsentlen
rv1258;1953;11.9095118657148
rv1071;1972;16.347965738758
rv1065;1970;13.4300645557947
rv1245;1984;16.3378168649767
rv0197;2001;32.155612244898
rv1059;1943;13.5355440826052
rv0662;1969;18.1527777777778
rv0526;1991;46.7967698519515
rv0682;1989;16.1251721288901
rv0514;2003;14.9009009009009
rv0513;2005;49.9272727272727
rv1262;1986;12.9181487469685
rv0505;1965;14.2844638949672
rv1253;1955;12.6717098445596
rv0764;1923;16.6996824436716
rv0785;1903;22.4209568855739
rv0234;1984;15.635297566696
rv0793;2010;16.0495540138751
rv0394;1913;19.9452238623887
rv1100;1986;13.5751154007554
rv0395;1913;21.7770400139787
rv1257;1954;13.0531474624265
rv1013;2003;25.1460481099656
rv0389;1923;18.4906738868833
rv0199;1953;24.365840066871
rv0767;1929;18.3050896471949
rv1138;1957;12.3503364445409
rv1034;1992;14.0733333333333
rv0502;1932;18.7696874742311
rv0695;1967;30.9624217118998
rv0510;2005;16.5339765100671
rv0696;1963;19.6733518241946
rv1050;1924;16.3064985451018
rv0528;2001;48.7167381974249
rv0207;1926;19.6279008438819
rv0195;1957;24.909038572251
rv0190;1958;85.8457943925234
rv1271;1995;9.35571284125379
rv1225;1952;18.8777698355969
rv1012;2006;23.4350570526827
rv0222;1927;20.8834368115361
rv0238;1981;15.6987876903948
rv0501;1944;9.91767738023044
rv0801;2015;14.483556638246
rv0527;1985;24.3745098039216
rv1223;1949;12.7885941090453
rv0581;1912;16.4680744092509
rv0160;1921;31.6307356154406
rv0674;1996;13.034604519774
rv0707;1926;17.8252541047694
rv0808;1985;14.9885376866968
rv0704;1901;15.5041789021911
rv0150;1992;57.1967213114754
rv0544;1950;14.1203889047755
rv0702;1900;19.8229452778365
